Date,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmh,Pressure_hPa,Rain_Probability_%,Weather_Type
2025-01-01,22.2,81.0,12.7,8.6,1014.8,47.1,Rain
2025-01-02,20.8,85.3,16.7,5.1,1015.6,51.8,Rain
2025-01-03,22.6,83.8,16.9,9.2,1018.5,25.9,Rain
2025-01-04,24.5,84.3,54.1,2.9,1012.5,61.2,Heavy Rain
2025-01-05,20.7,78.2,0.0,11.1,1009.7,50.5,Clear
2025-01-06,20.7,83.7,0.0,9.4,1023.1,61.8,Clear
2025-01-07,24.7,87.0,40.5,8.8,1019.7,17.1,Heavy Rain
2025-01-08,23.0,93.6,3.4,10.9,1009.8,81.0,Rain
2025-01-09,20.3,90.1,0.0,13.0,1019.1,52.1,Cloudy
2025-01-10,22.6,98.0,18.4,11.0,1013.2,72.0,Rain
2025-01-11,20.4,77.8,0.0,2.5,1017.4,33.7,Clear
2025-01-12,20.4,89.2,0.0,4.2,1017.5,60.6,Cloudy
2025-01-13,22.0,84.3,0.0,6.1,1014.6,37.6,Clear
2025-01-14,17.3,98.0,9.4,8.1,1014.7,51.3,Rain
2025-01-15,17.8,77.2,8.8,9.6,1014.9,68.7,Rain
2025-01-16,20.4,76.9,0.0,5.8,1012.7,43.3,Clear
2025-01-17,19.4,78.5,0.0,8.6,1013.5,49.2,Clear
2025-01-18,22.4,67.7,4.4,5.7,1015.0,50.3,Rain
2025-01-19,19.7,78.8,0.0,6.2,1013.8,52.7,Clear
2025-01-20,18.7,77.1,22.5,3.8,1019.9,47.5,Heavy Rain
2025-01-21,25.1,83.4,0.0,5.2,1019.9,54.0,Clear
2025-01-22,21.4,84.6,13.8,3.9,1013.5,79.2,Rain
2025-01-23,22.1,95.2,0.0,5.1,1016.4,56.3,Cloudy
2025-01-24,18.9,88.6,4.4,11.2,1019.1,55.3,Rain
2025-01-25,20.9,77.8,12.7,5.2,1018.0,58.7,Rain
2025-01-26,22.4,75.4,10.1,15.9,1015.6,57.9,Rain
2025-01-27,19.7,85.1,22.4,9.5,1019.6,64.9,Heavy Rain
2025-01-28,23.1,72.2,0.0,8.6,1016.9,50.3,Clear
2025-01-29,21.0,94.2,0.0,5.4,1011.1,42.6,Cloudy
2025-01-30,21.7,89.5,19.1,10.1,1019.1,73.0,Rain
2025-01-31,21.1,77.8,0.0,6.3,1019.5,32.4,Clear
2025-02-01,26.6,69.0,0.0,8.4,1010.2,44.2,Clear
2025-02-02,22.6,90.3,0.0,15.7,1015.4,44.9,Cloudy
2025-02-03,20.3,79.9,0.0,7.7,1019.1,46.7,Clear
2025-02-04,24.5,89.2,5.9,11.4,1013.4,57.2,Rain
2025-02-05,20.1,69.2,4.7,5.9,1020.7,44.6,Rain
2025-02-06,23.3,76.0,0.0,7.9,1024.3,50.1,Clear
2025-02-07,18.6,80.1,29.3,13.3,1014.0,66.9,Heavy Rain
2025-02-08,20.1,80.3,0.0,6.1,1010.9,53.1,Clear
